2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:23:58 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:23:59 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:00 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:01 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:02 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:03 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:04 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:05 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:06 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:07 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:08 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:09 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:10 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:11 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:12 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:13 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:14 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:15 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:16 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:17 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:18 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:19 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:20 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:21 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:22 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:23 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:24 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:25 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:26 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:27 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:28 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:29 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:30 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:31 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:32 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:33 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:34 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:35 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:36 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:37 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:38 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:39 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:40 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:41 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:42 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:43 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:44 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:45 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:46 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:47 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:48 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:49 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:50 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:51 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:52 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:53 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:54 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:55 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:56 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:57 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:58 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:24:59 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:00 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:01 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:02 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:03 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:04 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:05 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:06 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:07 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:08 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:09 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:10 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:11 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:12 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:13 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:14 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
